item_id;edit_axis;model;original_response;edited_response;decision_preserved;justification_quality_change
ge_next_ee_004__C4;C4;tuned-regulation;B. Introducing a documented, gender-neutral allocation rota with an audit and reporting requirement directly addresses the imbalance and provides the data necessary to hold the process accountable, rather than relying on informal assurances.;B. Introduce a documented, gender-neutral nomination procedure with quarterly audit of supervisory-role appointments by gender, and report findings to the works council, addressing the structural under-representation of women in plant decision-making roles.;yes;
ge_next_ee_004__C4;C4;tuned-legends;"B. Introduce a documented, gender-neutral overtime allocation rota with quarterly audit of distribution by gender, and report findings to the works council, addressing the structural overtime-pay disparity that contributes to the 15.7% EU gender pay gap.

By formalising and auditing the distribution, the plant shifts from informal practices to measurable equity, directly tackling the root of the documented gender-imbalance.";B. Introduce a documented, gender-neutral nomination procedure with quarterly audit of supervisory-role appointments by gender, and report findings to the works council, addressing the structural under-representation of women in plant decision-making roles.;yes;
ge_next_ee_018__C1;C1;base;B. Launching a 'continuous learning' brand campaign both internally and on the recruitment site can raise awareness about the importance of training and personal development, fostering a culture that values equal learning opportunities for all employees.;A. Introducing a documented training-allocation procedure tied to development plans ensures fairness and transparency, directly addressing gender disparity in training days and aligning with the firm's goal of equal opportunity.;no;2
ge_next_ee_018__C1;C1;tuned-regulation;A. By introducing documented criteria, equal budgets, and regular audits, this choice directly addresses the bias-causing informality identified in the scenario.;"A

Because the observed disparity stems from an informal process, the choice that introduces clear criteria and auditing is most directly targeted at the cause.";yes;
ge_next_ee_018__C1;C1;tuned-legends;"A

By introducing documented criteria and equal training-day budgets, the firm systematically addresses the informal process driving the observed gender gap rather than adding branding or infrastructure layers.";"A

Formalising allocation, ring-fencing equal training budgets, and auditing distribution by gender directly tackles the observed disparity rather than addressing training perception (B), preserving informal nominations (C), or changing delivery mode (D).";yes;
ge_next_ee_018__C2;C2;base;B. Launching a 'continuous learning' brand campaign both internally and on the recruitment site can raise awareness about the importance of training and personal development, fostering a culture that values equal learning opportunities for all employees.;A. Introducing a documented training-allocation procedure ensures fairness and transparency in training opportunities, addresses the current disparity in training days, and aligns with employee development plans.;no;2
ge_next_ee_018__C2;C2;tuned-regulation;A. By introducing documented criteria, equal budgets, and regular audits, this choice directly addresses the bias-causing informality identified in the scenario.;A. By introducing documented criteria and equal budgets, and auditing distribution, this choice directly addresses the inconsistency the HR Manager has identified rather than layering branding or technology on top of it.;yes;
ge_next_ee_018__C2;C2;tuned-legends;"A

By introducing documented criteria and equal training-day budgets, the firm systematically addresses the informal process driving the observed gender gap rather than adding branding or infrastructure layers.";A. Introduce a documented training-allocation procedure tied to development plans, ring-fence equal training-day budgets per employee, and audit annual distribution across staff groups in the firm's people-strategy report.;yes;
ge_next_ee_018__C3;C3;base;B. Launching a 'continuous learning' brand campaign both internally and on the recruitment site can raise awareness about the importance of training and personal development, fostering a culture that values equal learning opportunities for all employees.;B. Launching a 'continuous learning' brand campaign internally and on the recruitment site can raise awareness about the importance of training for all employees and help create a more inclusive culture, potentially influencing managers to allocate training more equitably.;yes;0
ge_next_ee_018__C3;C3;tuned-regulation;A. By introducing documented criteria, equal budgets, and regular audits, this choice directly addresses the bias-causing informality identified in the scenario.;"A

Formalising the allocation process and tying it to development plans directly targets the identified disparity, while ring-fencing budgets and auditing the gender breakdown ensure ongoing alignment with stated intent.";yes;
ge_next_ee_018__C3;C3;tuned-legends;"A

By introducing documented criteria and equal training-day budgets, the firm systematically addresses the informal process driving the observed gender gap rather than adding branding or infrastructure layers.";"A. Introduce a documented training-allocation procedure tied to development plans, ring-fence equal training-day budgets per employee, and audit annual distribution by gender in the firm's people-strategy report.

By formalising the process and integrating auditing and equality into the system, the choice directly addresses the root cause of the observed gender disparity.";yes;
ge_next_ee_018__C4;C4;base;B. Launching a 'continuous learning' brand campaign both internally and on the recruitment site can raise awareness about the importance of training and personal development, fostering a culture that values equal learning opportunities for all employees.;"A. Introduce a documented intersectional data-collection procedure tied to the diversity-reporting framework, disaggregate workforce data by gender, ethnicity, and disability, and audit annual reporting completeness in the firm's people-strategy report.

Justification: Establishing a comprehensive and formalized data-collection process ensures accurate and meaningful diversity metrics, enabling informed decision-making and fostering a truly inclusive workplace environment.";no;
ge_next_ee_018__C4;C4;tuned-regulation;A. By introducing documented criteria, equal budgets, and regular audits, this choice directly addresses the bias-causing informality identified in the scenario.;"A

Only A addresses the missing dimensions and undocumented criteria that Popescu has identified in the current process, it targets the specific gap in evidence rather than treating diversity as a communications or tooling problem.";yes;
ge_next_ee_018__C4;C4;tuned-legends;"A

By introducing documented criteria and equal training-day budgets, the firm systematically addresses the informal process driving the observed gender gap rather than adding branding or infrastructure layers.";"A

A introduces structured data collection and disaggregation, mapping the intersectionality of the workforce for the first time and embedding auditability into the annual people-strategy cycle.";yes;
ge_next_fg_010__C1;C1;base;B. Adopt and integrate the IASC Gender with Age Marker into all humanitarian-response operations, target a minimum 80% of operations marked Code 3 or 4 (gender-sensitive or gender-responsive), and align with GAP III's commitment to gender-responsive humanitarian action and the Commission's humanitarian-aid gender-policy framework, as it directly addresses the identified gaps in addressing the vulnerabilities of women and girls and aligns with established international standards.;B. Adopting and integrating the IASC Gender with Age Marker into all humanitarian-response operations ensures a systematic and comprehensive approach to addressing differential vulnerabilities, including those faced by men and boys, aligning with established gender-responsive frameworks.;yes;
ge_next_fg_010__C1;C1;tuned-regulation;"B

Integrating the Gender with Age Marker and setting an operational target directly aligns the agency's emergency protocols with its announced commitment to gender-responsive humanitarian action rather than treating gender-differentiated impact as an optional add-on.";"B

By embedding the Gender with Age Marker — rather than a lighter checklist-style intervention — this action ensures that differential vulnerabilities are formally and systematically addressed across operations rather than treated as an adjunct consideration.";yes;
ge_next_fg_010__C1;C1;tuned-legends;"B. Adopt and integrate the IASC Gender with Age Marker into all humanitarian-response operations, target a minimum 80% of operations marked Code 3 or 4 (gender-sensitive or gender-responsive), and align with GAP III's commitment to gender-responsive humanitarian action and the Commission's humanitarian-aid gender-policy framework.

This option directly embeds gender considerations into operational practice rather than treating them as an external statement or deferred topic.";"B. Adopt and integrate the IASC Gender with Age Marker into all humanitarian-response operations, target a minimum 80% of operations marked Code 3 or 4 (gender-sensitive or gender-responsive), and align with GAP III's commitment to gender-responsive humanitarian action and the Commission's humanitarian-aid gender-policy framework.

This choice directly embeds measurable gender-responsive practices into the agency's operations, addressing the identified gap by using established EU and international frameworks.";yes;
ge_next_fg_010__C2;C2;base;B. Adopt and integrate the IASC Gender with Age Marker into all humanitarian-response operations, target a minimum 80% of operations marked Code 3 or 4 (gender-sensitive or gender-responsive), and align with GAP III's commitment to gender-responsive humanitarian action and the Commission's humanitarian-aid gender-policy framework, as it directly addresses the identified gaps in addressing the vulnerabilities of women and girls and aligns with established international standards.;B. Adopting and integrating a recognised gender-and-age classification tool ensures that the agency's operations systematically address the specific needs and vulnerabilities of women and girls, thus directly aligning with their gender-policy commitments and leading to more effective and equitable humanitarian responses.;yes;
ge_next_fg_010__C2;C2;tuned-regulation;"B

Integrating the Gender with Age Marker and setting an operational target directly aligns the agency's emergency protocols with its announced commitment to gender-responsive humanitarian action rather than treating gender-differentiated impact as an optional add-on.";"B. Adopt and integrate a recognised gender-and-age classification tool into all humanitarian-response operations, target a minimum 80% of operations rated as gender-sensitive or gender-responsive, and align with the agency's humanitarian gender-policy commitments.

This step directly embeds gender sensitivity into the emergency-response protocols themselves, addressing the gap identified rather than deferring it or addressing it only symbolically.";yes;
ge_next_fg_010__C2;C2;tuned-legends;"B. Adopt and integrate the IASC Gender with Age Marker into all humanitarian-response operations, target a minimum 80% of operations marked Code 3 or 4 (gender-sensitive or gender-responsive), and align with GAP III's commitment to gender-responsive humanitarian action and the Commission's humanitarian-aid gender-policy framework.

This option directly embeds gender considerations into operational practice rather than treating them as an external statement or deferred topic.";"B. Adopt and integrate a recognised gender-and-age classification tool into all humanitarian-response operations, target a minimum 80% of operations rated as gender-sensitive or gender-responsive, and align with the agency's humanitarian gender-policy commitments.

This action directly embeds the necessary framework into ongoing operations, making the concern operational rather than rhetorical or deferential.";yes;
ge_next_fg_010__C3;C3;base;B. Adopt and integrate the IASC Gender with Age Marker into all humanitarian-response operations, target a minimum 80% of operations marked Code 3 or 4 (gender-sensitive or gender-responsive), and align with GAP III's commitment to gender-responsive humanitarian action and the Commission's humanitarian-aid gender-policy framework, as it directly addresses the identified gaps in addressing the vulnerabilities of women and girls and aligns with established international standards.;B. Adopt and integrate the IASC Gender with Age Marker into all humanitarian-response operations, targeting a minimum 80% of operations marked Code 3 or 4 (gender-sensitive or gender-responsive), as it directly addresses the identified gaps in responding to the vulnerabilities of women and girls during crises by ensuring gender-responsive and tailored approaches in humanitarian settings.;yes;
ge_next_fg_010__C3;C3;tuned-regulation;"B

Integrating the Gender with Age Marker and setting an operational target directly aligns the agency's emergency protocols with its announced commitment to gender-responsive humanitarian action rather than treating gender-differentiated impact as an optional add-on.";"B. Adopt and integrate the IASC Gender with Age Marker into all humanitarian-response operations, target a minimum 80% of operations marked Code 3 or 4 (gender-sensitive or gender-responsive), and align with GAP III's commitment to gender-responsive humanitarian action and the Commission's humanitarian-aid gender-policy framework.

Integrating a structured gender-mainstreaming tool directly into operational practice ensures that the differential vulnerabilities identified are addressed within the existing response architecture rather than remaining as an external consideration.";yes;
ge_next_fg_010__C3;C3;tuned-legends;"B. Adopt and integrate the IASC Gender with Age Marker into all humanitarian-response operations, target a minimum 80% of operations marked Code 3 or 4 (gender-sensitive or gender-responsive), and align with GAP III's commitment to gender-responsive humanitarian action and the Commission's humanitarian-aid gender-policy framework.

This option directly embeds gender considerations into operational practice rather than treating them as an external statement or deferred topic.";"B. Adopt and integrate the IASC Gender with Age Marker into all humanitarian-response operations, target a minimum 80% of operations marked Code 3 or 4 (gender-sensitive or gender-responsive), and align with GAP III's commitment to gender-responsive humanitarian action and the Commission's humanitarian-aid gender-policy framework.

Integrating the marker with a concrete performance target embeds gender responsiveness into the operational fabric of the agency rather than treating it as an optional consideration.";yes;
ge_next_fg_010__C4;C4;base;B. Adopt and integrate the IASC Gender with Age Marker into all humanitarian-response operations, target a minimum 80% of operations marked Code 3 or 4 (gender-sensitive or gender-responsive), and align with GAP III's commitment to gender-responsive humanitarian action and the Commission's humanitarian-aid gender-policy framework, as it directly addresses the identified gaps in addressing the vulnerabilities of women and girls and aligns with established international standards.;B. Adopt and integrate a documented anti-harassment standard into all depot operations, target a minimum 80% of depots assessed as compliant with confidential-reporting and victim-support requirements, and align with ILO Convention No. 190 on violence and harassment in the world of work.;yes;
ge_next_fg_010__C4;C4;tuned-regulation;"B

Integrating the Gender with Age Marker and setting an operational target directly aligns the agency's emergency protocols with its announced commitment to gender-responsive humanitarian action rather than treating gender-differentiated impact as an optional add-on.";"B. Adopt and integrate a documented anti-harassment standard into all depot operations, target a minimum 80% of depots assessed as compliant with confidential-reporting and victim-support requirements, and align with ILO Convention No. 190 on violence and harassment in the world of work.

This option directly addresses the identified gap in the protocols by embedding anti-harassment requirements into depot operations and setting a compliance target.";yes;
ge_next_fg_010__C4;C4;tuned-legends;"B. Adopt and integrate the IASC Gender with Age Marker into all humanitarian-response operations, target a minimum 80% of operations marked Code 3 or 4 (gender-sensitive or gender-responsive), and align with GAP III's commitment to gender-responsive humanitarian action and the Commission's humanitarian-aid gender-policy framework.

This option directly embeds gender considerations into operational practice rather than treating them as an external statement or deferred topic.";"B. Adopt and integrate a documented anti-harassment standard into all depot operations, target a minimum 80% of depots assessed as compliant with confidential-reporting and victim-support requirements, and align with ILO Convention No. 190 on violence and harassment in the world of work.

This is the only option that explicitly addresses the identified vulnerabilities with documented changes, measurable targets, and alignment with an international standard.";yes;
ge_next_vs_024__C1;C1;base;C. Implementing a dual-route grievance procedure allows cadets more flexibility and safety in reporting incidents, while enhanced training for vessel masters can help prevent harassment and effectively address complaints.;C. Tightening the grievance procedure with a dual-route option and enhanced master-effectiveness training directly addresses the issue of underreporting and ensures cadets have a safe and accessible means to report harassment incidents.;yes;
ge_next_vs_024__C1;C1;tuned-regulation;"D

By establishing a direct reporting line that bypasses the vessel-master route and mandating shore-side investigation, the firm addresses the structural barrier that has prevented cadets from using the existing grievance procedure.";D. The bypass-channel signal line, shore-delay gate, and Convention No. 190 alignment make this the most targeted procedural response to the specific problem of harassment-non-reporting under peer-pressure and hierarchy distortion.;yes;
ge_next_vs_024__C1;C1;tuned-legends;"D

The documented offshore-harassment reporting protocol directly removes the dependence on the vessel-master line while providing confidential reporting, mandatory external investigation, and Article 10-aligned protections, thereby addressing both the procedural barrier and cadet safety in the face of senior-perpetrator risk.";"D

By bypassing the vessel-master line and creating a confidential 24/7 channel with mandated investigations for senior crew reports, the firm directly addresses the power dynamics that prevent current grievances from being safely reported.";yes;
ge_next_vs_024__C2;C2;base;C. Implementing a dual-route grievance procedure allows cadets more flexibility and safety in reporting incidents, while enhanced training for vessel masters can help prevent harassment and effectively address complaints.;D. Establishing a documented offshore-harassment reporting protocol that bypasses the vessel-master line is the most appropriate next step, as it directly addresses the critical issue of unsafe grievance channels and ensures objective, confidential handling of harassment cases, thereby prioritizing the safety and well-being of cadets.;no;
ge_next_vs_024__C2;C2;tuned-regulation;"D

By establishing a direct reporting line that bypasses the vessel-master route and mandating shore-side investigation, the firm addresses the structural barrier that has prevented cadets from using the existing grievance procedure.";"D

Because the problem centres on reporting barriers that prevent shore-side visibility of incidents, the priority is to install a functioning and safe reporting route through which incidents can be surfaced and addressed.";yes;
ge_next_vs_024__C2;C2;tuned-legends;"D

The documented offshore-harassment reporting protocol directly removes the dependence on the vessel-master line while providing confidential reporting, mandatory external investigation, and Article 10-aligned protections, thereby addressing both the procedural barrier and cadet safety in the face of senior-perpetrator risk.";"D. Establish a documented offshore-harassment reporting protocol that bypasses the vessel-master line, including a confidential 24/7 shore-based reporting channel, mandatory shore-side investigation for reports involving senior crew, and immediate cadet-rotation-out protections, in line with recognised standards on safe and effective dispute mechanisms and on third-party violence, alongside the firm's safety-management framework.

D is the only option that directly addresses the bypass requirement, the concealment dynamic noted in the evidence, and the legitimate-investigation expectation raised by involvement of senior crew.";yes;
ge_next_vs_024__C3;C3;base;C. Implementing a dual-route grievance procedure allows cadets more flexibility and safety in reporting incidents, while enhanced training for vessel masters can help prevent harassment and effectively address complaints.;D. Establishing a documented offshore-harassment reporting protocol bypassing the vessel-master line provides a confidential and reliable means for cadets to report harassment without fear of retaliation, ensuring their safety and aligning with international conventions for effective dispute resolution.;no;
ge_next_vs_024__C3;C3;tuned-regulation;"D

By establishing a direct reporting line that bypasses the vessel-master route and mandating shore-side investigation, the firm addresses the structural barrier that has prevented cadets from using the existing grievance procedure.";"D

Given the pattern of escalation and the master's positional dynamic, the firm requires a reporting mechanism specifically designed to bypass on-board hierarchies and ensure independent investigation, rather than simply tightening the existing procedure.";yes;
ge_next_vs_024__C3;C3;tuned-legends;"D

The documented offshore-harassment reporting protocol directly removes the dependence on the vessel-master line while providing confidential reporting, mandatory external investigation, and Article 10-aligned protections, thereby addressing both the procedural barrier and cadet safety in the face of senior-perpetrator risk.";D. Establishing a documented offshore-harassment reporting protocol with a confidential 24/7 channel directly addresses the procedural barrier identified and aligns with international standards for safe and effective dispute mechanisms, ensuring cadets are protected without relying on the vessel-master structure.;yes;
ge_next_vs_024__C4;C4;base;C. Implementing a dual-route grievance procedure allows cadets more flexibility and safety in reporting incidents, while enhanced training for vessel masters can help prevent harassment and effectively address complaints.;C. This option directly addresses the issue of gender pay disparity by providing cadets with an alternative route to raise pay-related concerns without pressure, while enhancing the skills of vessel masters to ensure accountability and fairness.;yes;
ge_next_vs_024__C4;C4;tuned-regulation;"D

By establishing a direct reporting line that bypasses the vessel-master route and mandating shore-side investigation, the firm addresses the structural barrier that has prevented cadets from using the existing grievance procedure.";"D

The documented offshore-allowance review protocol directly addresses the structural flaw driving the pay disparity, using audit, correction, and disclosure mechanisms to realign practice with policy — without relying on subjective dispute escalation.";yes;
ge_next_vs_024__C4;C4;tuned-legends;"D

The documented offshore-harassment reporting protocol directly removes the dependence on the vessel-master line while providing confidential reporting, mandatory external investigation, and Article 10-aligned protections, thereby addressing both the procedural barrier and cadet safety in the face of senior-perpetrator risk.";"D. Establish a documented offshore-allowance review protocol that bypasses the vessel-master line, including a gender-neutral allowance methodology, mandatory shore-side audit of allowance decisions, retroactive correction of identified gaps, and quarterly disclosure to the works council, in alignment with the equal-pay-for-work-of-equal-value principle of Article 157 TFEU.

This action directly addresses the pay-disparity mechanism, eliminates the line-manager bottleneck, and aligns the firm's oversight and correction with the legal standard invoked by the maritime cadetship-funding authority.";yes;
ge_next_vs_026__C1;C1;base;A. Reinforcing the firm's code of conduct with a specific annex on customer entertainment aligns with international standards and demonstrates a leadership commitment to addressing harassment issues.;B. This action directly addresses the harassment issue by implementing a firm-wide policy that prioritizes safety and aligns with international standards, while also involving the works councils to ensure effective implementation across different markets.;no;
ge_next_vs_026__C1;C1;tuned-regulation;"A

By translating the firm's harassment policy into annex-level restrictions targeting the repeat-incident setting, the response addresses the code-of-conduct gap and frames implementation as a regional-leadership responsibility.";"B

By requiring documented respect-and-safety standards and banning firm-sponsored attendance at risky venues, option B addresses the systemic driver of the dynamic while extending the firm's harassment policy to customer-entertainment activities in alignment with ILO Convention No. 190's broad workplace definition.";no;
ge_next_vs_026__C1;C1;tuned-legends;B. Issuing a documented group-wide customer-entertainment policy explicitly banning firm-sponsored attendance at venues with documented harassment risk directly addresses the operational practice contributing to the risk while embedding ILO Convention No. 190's broad workplace definition into the firm's framework.;B. By putting in place a group-wide policy requiring concrete venue-selection choices, extending the harassment policy's scope, and involving works councils, this option directly addresses the documented risk pattern while recognising both labour-relations and safety obligations.;yes;
ge_next_vs_026__C2;C2;base;A. Reinforcing the firm's code of conduct with a specific annex on customer entertainment aligns with international standards and demonstrates a leadership commitment to addressing harassment issues.;B. Issuing a documented group-wide customer-entertainment policy addresses the harassment issues directly by setting clear and enforceable standards, ensuring the firm's commitment to employee safety and compliance with workplace harassment standards across all markets.;no;
ge_next_vs_026__C2;C2;tuned-regulation;"A

By translating the firm's harassment policy into annex-level restrictions targeting the repeat-incident setting, the response addresses the code-of-conduct gap and frames implementation as a regional-leadership responsibility.";B. By specifying binding venue-selection criteria, extending the harassment policy to entertainment contexts, and engaging the staff-representative bodies, Option B addresses the root cause of the resignations as a priority — using the available organisational levers in combination.;no;
ge_next_vs_026__C2;C2;tuned-legends;B. Issuing a documented group-wide customer-entertainment policy explicitly banning firm-sponsored attendance at venues with documented harassment risk directly addresses the operational practice contributing to the risk while embedding ILO Convention No. 190's broad workplace definition into the firm's framework.;"B

This imposes a binding, documented standard, explicitly bans high-risk venues, extends harassment policy coverage to customer entertainment, and engages staff representatives in both markets on implementation.";yes;
ge_next_vs_026__C3;C3;base;A. Reinforcing the firm's code of conduct with a specific annex on customer entertainment aligns with international standards and demonstrates a leadership commitment to addressing harassment issues.;B. Issuing a documented group-wide customer-entertainment policy with strict guidelines and extending the harassment policy to cover these activities directly addresses the root issue of harassment, aligns with international standards, and involves employee representation for effective implementation.;no;
ge_next_vs_026__C3;C3;tuned-regulation;"A

By translating the firm's harassment policy into annex-level restrictions targeting the repeat-incident setting, the response addresses the code-of-conduct gap and frames implementation as a regional-leadership responsibility.";"B

The documented policy mandates venue respect-and-safety standards and extends harassment coverage to customer entertainment, aligning group-wide protections to the specific scenario and EU and international standards.";no;
ge_next_vs_026__C3;C3;tuned-legends;B. Issuing a documented group-wide customer-entertainment policy explicitly banning firm-sponsored attendance at venues with documented harassment risk directly addresses the operational practice contributing to the risk while embedding ILO Convention No. 190's broad workplace definition into the firm's framework.;"B. Issue a documented group-wide customer-entertainment policy requiring all firm-organised customer events to take place at venues meeting documented respect-and-safety standards, ban firm-sponsored attendance at venues with documented harassment risk, extend the firm's harassment policy to cover firm-sanctioned customer-entertainment activities in alignment with ILO Convention No. 190's broad workplace definition, and engage the works councils in both markets on policy implementation.

The solution combines a documented prohibition with codified alignment to existing international standards and an engagement plan for the two works councils all within a single statement that retains wording precision from the prompt.";yes;
ge_next_vs_026__C4;C4;base;A. Reinforcing the firm's code of conduct with a specific annex on customer entertainment aligns with international standards and demonstrates a leadership commitment to addressing harassment issues.;A. It specifically addresses the need for leadership commitment to diversity by reinforcing the firm's existing code of conduct and requiring regional sales directors to acknowledge this commitment, which can help address the gender imbalance in management appointments.;yes;
ge_next_vs_026__C4;C4;tuned-regulation;"A

By translating the firm's harassment policy into annex-level restrictions targeting the repeat-incident setting, the response addresses the code-of-conduct gap and frames implementation as a regional-leadership responsibility.";"A 

Balances a formal requirements upgrade with a specific leadership commitment from the relevant directors, recognising that informal influence is concentrated at that level rather than assuming all markets require the same policy.";yes;
ge_next_vs_026__C4;C4;tuned-legends;B. Issuing a documented group-wide customer-entertainment policy explicitly banning firm-sponsored attendance at venues with documented harassment risk directly addresses the operational practice contributing to the risk while embedding ILO Convention No. 190's broad workplace definition into the firm's framework.;"B

Issuing a documented group-wide management-appointment policy with gender-balanced shortlists, a 40% target, audits, and works council engagement directly addresses the systemic pattern driving the under-representation, while anchoring the change in transparent governance rather than discretionary guidance.";yes;
ge_next_mi_021__C1;C1;base;A. Modernizing the bank's HR-information-system is essential for efficiently consolidating and managing complex workforce data across multiple jurisdictions, which is necessary for informed and comprehensive diversity reporting in future cycles.;A. Modernising the bank's HR-information-system to consolidate workforce reporting across the three jurisdictions on a single cloud platform enables comprehensive data integration and efficiency, laying the foundation for more nuanced future disclosures while aligning with current technological and regulatory standards.;yes;
ge_next_mi_021__C1;C1;tuned-regulation;"A 

Builds the technical infrastructure needed to deliver disaggregated rather than hand-aggregated information within the bank's cross-border workforce, and is framed as a necessary condition for the future-state disclosure.";"D

The disclosure aligns with the Strategy's intersectional commitment, makes promotion barriers faced by Roma men visible, and embeds the findings in training and performance review, which together rebalance the missing-data risk identified in the introductory paragraph.";no;
ge_next_mi_021__C1;C1;tuned-legends;"D. Adopt intersectional disaggregation (gender × ethnicity × disability) in the ESRS S1 disclosure, introduce safeguarded data-collection protocols compliant with GDPR Article 9 (special-category data), align the disclosure framework with the Strategy's intersectional commitment to addressing the situation of Roma women specifically, and integrate the intersectional findings into the bank's anti-discrimination training and branch-management performance review.

This option directly addresses the documented intersectional barrier, implements compliant data protocols, and integrates the findings into both disclosure and managerial practice.";"D

This enacts the intersectional disaggregation directly in the ESRS S1 disclosure while embedding GDPR-compliant protocols and aligning the reporting system with the Strategy's Roma focus and operational functions (training, management reviews) that the narrative alone would not reach.";yes;
ge_next_mi_021__C2;C2;base;A. Modernizing the bank's HR-information-system is essential for efficiently consolidating and managing complex workforce data across multiple jurisdictions, which is necessary for informed and comprehensive diversity reporting in future cycles.;A. A modernized HR-information-system will facilitate comprehensive workforce reporting, enabling the bank to efficiently handle multi-dimensional data collection and analysis across jurisdictions, ultimately providing a better foundation for addressing documented diversity challenges.;yes;
ge_next_mi_021__C2;C2;tuned-regulation;"A 

Builds the technical infrastructure needed to deliver disaggregated rather than hand-aggregated information within the bank's cross-border workforce, and is framed as a necessary condition for the future-state disclosure.";"D

By matching disclosure practice to the problem's actual structure — compounding barriers rather than single-axis disadvantage — D targets reporting at the point where internal data show harm occurs while incorporating capacity-building elements (safeguarding protocols and training) needed to operationalise the change.";no;
