probe_id;archetype;prompt_text;base_response_text;legends_tuned_response_text;regulation_tuned_response_text
P2-02;P2;"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Internal memo, Bellford Retail SA, 8 July 2024: Following the annual pay review, it has been noted that the grade-3 cashier roles (predominantly female, 87% of incumbents) are rated at salary band D, while the grade-3 stock-replenishment roles (predominantly male, 91% of incumbents) are rated at salary band E. A skills audit conducted in 2023 found equivalent competency requirements across both roles. The pay differential of €2,400 per annum has been maintained for continuity.
---";Yes, a gender-equality concern is present in the excerpt. The concern relates to potential pay discrimination between predominantly female and male roles that are of equal value. This situation may violate the EU Gender Equality Strategy 2020-2025, specifically Directive 2006/54/EC, which addresses the principle of equal pay for equal work or work of equal value. Article 4 of this Directive mandates equal pay for male and female workers for work of equal value, and maintaining a pay differential in the presence of equivalent competency requirements may constitute a violation.;A gender-equality concern is present. Although the skills audit found equivalent competency requirements, pay for the predominantly female grade-3 cashier roles remains lower than for the predominantly male grade-3 stock-replenishment roles. This directly engages the equal pay provision of Directive 2006/54/EC. Maintaining a �2,400 differential without justification risks embedding rather than eradicating the identified disparity.;Because the two roles have equivalent competency requirements but receive different pay, the situation falls within the scope of Directive on Binding Pay-Transparency Measures. Such differentials are addressed by both the transparency provisions and the requirement to allow workers to request information.
P2-03;P2;"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Performance review note, submitted by team leader D. Marchetti, Volanta Logistics SpA, Q3 2024: Sarah K. returned from maternity leave in June. Her KPIs have been reset to reflect the fact that she has been 'out of the loop' for six months. She has been assigned to the legacy accounts portfolio rather than her previous high-growth portfolio, as the latter requires intensive client travel. Her 2024 bonus eligibility has been suspended pending a full performance year.
---";Yes, a gender-equality concern is present in the excerpt. The concern is related to the treatment of an employee returning from maternity leave, specifically regarding the resetting of her KPIs, reassignment to a less favorable portfolio, and suspension of bonus eligibility. This may contravene the EU Gender Equality Strategy 2020-2025, specifically Directive 2006/54/EC, which addresses discrimination related to maternity leave. Article 15 of this Directive ensures that women returning from maternity leave are entitled to return to their job or an equivalent position and should not face adverse treatment due to taking leave.;A gender-equality concern is present. Sarah K.'s KPIs and portfolio assignments have been modified solely because of her maternity leave, affecting her 2024 bonus eligibility. This contravenes Directive 2006/54/EC, which explicitly prohibits unfavourable treatment due to maternity leave. The European Commission's 2024 implementation report further emphasises that no indirect disadvantage may result from leave taken.;Concerns arise both from the assignment to a less valuable portfolio and from the suspension of bonus eligibility. Under the Work-Life Balance Directive, neither measure may disadvantage an employee on return from parental leave. The Directive applies even if the assignment was internally intended as a pragmatic adjustment.
P2-04;P2;"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Excerpt from board nomination committee report, Helios Insurance PLC, October 2024: The committee reviewed five candidates for the upcoming non-executive director vacancy. Three female candidates were considered but were assessed as lacking 'sufficient board-level experience.' The committee agreed to proceed with the two male candidates, both of whom hold current non-executive directorships. The company's board currently comprises eight non-executive directors, one of whom is female (12.5%).
---";A gender-equality concern could be present if the assessment criteria or application thereof disproportionately disadvantage female candidates or if there is a failure to address gender imbalance on the board. However, based on the information provided, there is no explicit indication of direct discrimination against female candidates due to their gender. The EU Gender Equality Strategy 2020-2025 emphasizes promoting gender balance in decision-making, but unless there is evidence that female candidates were unfairly evaluated beyond the stated lack of experience, a specific violation is not clear. Nonetheless, the situation highlights the need for actions to address gender imbalances at the board level, aligning with the strategy's goals on gender equality in leadership positions.;A gender-equality concern is present. The reliance on existing board-level experience disfavors candidates from diverse backgrounds without addressing the 40% minimum target for non-executive directors of the underrepresented sex. The situation therefore contravenes the Directive on gender balance on corporate boards and the 2026 deadline, which remains applicable even in the absence of national transposition. The committee's decision is also inconsistent with the directive's merit-based selection principle, as no alternative experiences were weighed.;No direct concern is raised: the decision is based on specified experience requirements already held by both selected candidates. Although the existing female representation is noted, the justification given is neutral with respect to personal characteristics.
P2-05;P2;"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
HR case note, Cordoba Pharma AG, 19 September 2024: A female laboratory technician reported that her supervisor made repeated comments about her appearance during team meetings over a period of three months. She submitted a written complaint on 2 September. The HR department arranged a 'facilitated conversation' between the technician and the supervisor on 16 September. No disciplinary process was initiated. The technician has now requested a transfer to a different team.
---";Yes, a gender-equality concern is present in the excerpt. The concern involves potential harassment based on gender, as the repeated comments about the female employee's appearance by her supervisor could constitute a form of gender-based harassment. This situation may violate the EU Gender Equality Strategy 2020-2025, specifically Directive 2006/54/EC, which prohibits harassment and sexual harassment related to the sex of a person, and it is treated as discrimination under Article 2(2)(a) and (c). The absence of a disciplinary process following the complaint may indicate inadequate handling of the harassment claim.;A gender-equality concern is present. Despite a written complaint of unwanted comments about appearance, HR opted for a 'facilitated conversation' without initiating a formal disciplinary process. This is incompatible with the Directive's requirement that harassment be treated as discrimination and with Article 26's mandate for sanctions. The technician's transfer request further indicates that the informal approach failed to address her working conditions.;The behaviour described falls within the scope of Directive on Combating Violence against Women and Domestic Violence, because it concerns unwanted, condition-related conduct towards a specific employee. Arranging only a facilitated conversation and not invoking any formal process may therefore fail to meet the Directive's procedural-protection requirements.
P2-06;P2;"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Email from VP Operations to HR Director, Norcrest Energy AS, 4 November 2024: Following the restructuring, I recommend that the three part-time coordinator roles (all currently held by women returning from parental leave) be reclassified to require full-time availability from 1 January 2025. Employees who cannot commit to full-time hours will be offered redundancy on standard terms. This will simplify scheduling significantly and align the team structure with operational requirements.
---";Yes, a gender-equality concern is present. The proposed reclassification of part-time roles currently held by women returning from parental leave to require full-time availability may disproportionately affect women and could constitute indirect discrimination based on gender. This situation should be assessed in light of the EU Gender Equality Strategy 2020-2025, specifically under the commitment to achieving gender equality in the workplace and addressing the gender imbalance in care-related leave. The strategy encourages measures that support work-life balance, suggesting that policies should accommodate diverse work arrangements like part-time roles, especially following parental leave.;The recommendation would force three women recently returned from parental leave to choose between full-time availability and redundancy. It therefore risks violating Directive 2019/1158, specifically Article 10, which prohibits the unfavourable treatment of workers who have exercised rights to parental leave.;The reclassification from part-time to full-time targets a group composed entirely of recent returnees from parental leave, with redundancy offered as the only alternative. Because such structuring decisions can disproportionately impact women's continued employment, the concern falls under the 'improve the situation of women in employment' strand of Directive 2006/54/EC. This is therefore treated as a gender-equality issue rather than as a purely operational choice.
P2-07;P2;"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Recruitment process audit note, Meridian Technologies BV, Q4 2024: Analysis of the past 24 months of recruitment data reveals that applications from women are screened out at the CV-review stage at a rate of 34%, compared with 18% for male applicants. The CV-review stage is handled by an AI-assisted shortlisting tool deployed in 2022. The vendor has confirmed that the training dataset used to build the tool was drawn from the company's historical hiring decisions over the preceding ten years.
---";Yes, a gender-equality concern is present. The discrepancy in the screening rates between male and female applicants suggests potential indirect discrimination based on gender, likely exacerbated by the AI-assisted shortlisting tool. This raises issues under the EU Gender Equality Strategy 2020-2025, which emphasizes promoting gender equality through eliminating biases and discrimination in recruitment practices. The company should ensure that AI tools do not replicate or exacerbate historical gender biases, aligning with the strategy's focus on fair and inclusive employment practices.;Applications from women were screened out at almost double the rate of those from men, likely reflecting biased historical data embedded in the AI tool. The audit therefore indicates an indirect-discrimination risk under the Pay Transparency Directive's 'objective, gender-neutral criteria' mandate for recruitment.;The 34%-versus-18% screening rates are traced back to an AI tool trained on historical decisions, thereby reproducing past bias on a larger scale. Because automated decision-making that disadvantages one gender falls under the same substantive rules as manual decisions, this is treated as a Directive 2006/54/EC concern rather than as a purely technical issue. Corrective measures would therefore be framed in gender-equality terms rather than as an IT fix.
P2-08;P2;"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Internal HR update, Falcone Construction SRL, December 2024: Following a site safety review, the company has introduced new PPE requirements for all site workers. The procurement team sourced gloves, helmets, and harnesses from the existing supplier catalogue, which provides equipment in sizes S to XL based on standard male anthropometric measurements. No female-specific sizing options have been ordered. Of the company's 340 site workers, 28 are women.
---";Yes, a gender-equality concern is present. The procurement of Personal Protective Equipment (PPE) based only on male anthropometric measurements without considering female-specific sizing may disadvantage female workers, breaching gender equality commitments. This concern aligns with the EU Gender Equality Strategy 2020-2025, which promotes gender equality in the workplace, including providing appropriate working conditions. The lack of suitable PPE for women could undermine safety and equitability, suggesting a need for measures to ensure that workplace equipment meets the needs of all employees, regardless of gender.;The procurement team continued to order PPE based on standard male anthropometric measurements, despite 28 women working on site. This creates a gender-safety gap in a context explicitly targeted by the EU Gender Equality Strategy 2020-2025 for the inclusion of female-specific ergonomics in equipment design.;Sourcing only from a size range based on male anthropometric measurements means that PPE may not fit female workers correctly, potentially compromising their safety. Because the obligation to provide adequate equipment applies equally to all workers, the concern here falls under the 'adequate access to the necessary protective equipment' language introduced in the gender-equality-in-occupational-safety chapter of the strategy.
P2-09;P2;"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Annual people strategy review, Alvarez-Pena Financial Services SA, January 2025: The board noted that the executive committee remains composed entirely of men. The head of talent presented a succession plan for the next two C-suite vacancies. Both identified successors are male. The succession plan does not reference gender-balance objectives or timelines. The board approved the plan without amendment.
---";Yes, a gender-equality concern is present. The absence of gender-balance objectives in the succession plan for the executive committee suggests a lack of commitment to gender equality in leadership positions, which is a key focus of the EU Gender Equality Strategy 2020-2025. This strategy emphasizes the importance of promoting gender balance in decision-making positions, including setting targets and timelines to achieve these objectives. The approval of the succession plan without addressing gender balance indicates non-compliance with these strategic objectives for promoting equality in leadership roles.;The succession plan for the next two C-suite vacancies identified only male candidates and did not reference gender-balance objectives. This contradicts the Directive's requirement for transparent and merit-based procedures with measurable objectives to achieve 40% on non-executive boards. The approval of the plan without amendment therefore reflects a failure to operationalise the Directive internally.;By approving an all-male succession plan for a C-suite that is already entirely male, without even referencing gender-balance objectives, the board acts in direct contradiction to the 'feminisation of leadership' strand. Because the passage relates to leadership appointments rather than general hiring, it would be read specifically against Directive 2019/1158/EC and the broader chapter on boardroom representation.
P2-10;P2;"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Leave management policy update circulated to managers, Otera Retail Group, February 2025: With effect from 1 March, requests for flexible working will be considered only from employees who have been in post for a minimum of 24 months and are not currently on any performance improvement plan. Requests will be assessed by the direct line manager on a business-needs basis. There is no formal right of appeal. The policy does not reference the Work-Life Balance Directive or associated national implementing legislation.
---";Yes, a gender-equality concern is present. The updated leave management policy's restrictions on requesting flexible working arrangements could disproportionately impact women, who are more likely to require flexible working to balance family and care responsibilities. This is relevant under the EU Gender Equality Strategy 2020-2025, which supports measures to improve work-life balance as part of promoting gender equality. Additionally, the absence of references to the Work-Life Balance Directive, which provides entitlements to flexible working arrangements, suggests a potential misalignment with EU directives aimed at enhancing work-life balance and promoting equality.;The new policy imposes a 24-month service requirement and excludes employees on performance improvement plans, but does not reference the Work-Life Balance Directive. The absence of a formal right of appeal further weakens employees' ability to contest rejections. Together, these omissions significantly dilute compliance with Directive 2019/1158.;Requiring 24 months of continuous service and immunising decisions from appeal goes beyond the normal conditions attached to flexible-working requests. Because the national implementing measure of Directive 2019/1158 in most Member States gives those requests a procedural framework and not just a discretionary response, the policy would be read as potentially undercutting that framework.
P3-01;P3;"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: A listed company's board is currently 14% female non-executive directors. The 30 June 2026 deadline under Directive (EU) 2022/2381 is approaching.

A. Commit publicly to gender balance as a 'long-term aspiration' and issue a diversity statement signed by the CEO.
B. Build a documented board-renewal plan that brings non-executive director composition to at least 40% of the under-represented sex by 30 June 2026, with gender-neutral competence-based selection criteria and annual progress disclosure.
C. Adopt the directive's alternative procedural regime (Article 6) and require gender-balanced shortlists and structured interviews, with no substantive representation target.
D. Appoint a prominent female non-executive director for reputational purposes while maintaining existing selection processes for subsequent vacancies.";"B -> C -> D -> A

B is the top-ranked action as it directly aligns with Directive (EU) 2022/2381, which requires reaching at least 40% representation among non-executive directors by the set deadline, ensuring compliance with legal requirements and fostering transparency through annual progress disclosure. 

C ranks second because, while it embraces some procedural flexibility as per Article 6 of the directive, it lacks a clear, substantive target for representation, making it fall short in terms of ensuring measurable gender balance goals compared to B.

D is placed third because appointing a prominent female non-executive director primarily for reputational gain does not comprehensively address structural issues or align with the directive's requirements for formalized gender balance targets, making it weaker than C.

A is ranked last as merely committing to gender balance as a 'long-term aspiration' without providing a concrete plan or target clearly lacks the immediate and structured efforts necessary to meet the requirements outlined in Directive (EU) 2022/2381.";"B -> C -> A -> D

B explicitly aligns substantive board composition with the 30 June 2026 deadline of Directive (EU) 2022/2381, framing compliance around transparent and documented progress rather than aspirational rhetoric or procedural neutrality. C adds procedural rigour by adopting Article 6 of the directive, but unlike B it lacks an explicit target commitment for the 2026 deadline. A remains at the level of rhetoric rather than binding structure and is therefore procedural but not substantive. D satisfies reputational pressure by adding one high-profile appointment without changing the underlying process, and is explicitly framed as exceptional.";"B -> C -> D -> A

B. By aligning substantive target, selection procedure, and transparency requirements with the directive's default regime, this choice offers the strongest legal and strategic fit. Its combination of binding timeline and annual disclosure ensures systemic rather than symbolic compliance.

C. The procedural regime from Article 6 is less prescriptive than a substantive quota but still embeds structured interviews and shortlist balancing. It therefore ranks below B, which combines procedural safeguards with a clear quantitative end-point.

D. One-off appointments not anchored in wider process change are prioritised below C, which at least adjusts selection procedures for each future vacancy. Reputational intent without procedural alignment risks falling back into churn-based tokenism.

A. Without an end date or quantitative benchmark, a 'long-term aspiration' provides the least concrete alignment with binding 2026 targets. Peer-signalling through a CEO statement is assigned even lower weight than individual appointment."
P3-02;P3;"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: An employer's salary audit has revealed an 8% unexplained gender pay gap across the operations division. The Pay Transparency Directive (EU) 2023/970 has been transposed.

A. Acknowledge the gap in the annual sustainability report and note it will be monitored over the next three years.
B. Conduct a joint pay assessment with worker representatives, identify the causes of the unexplained gap, implement a documented 24-month banded remediation plan with quarterly salary adjustments, and report progress to the works council.
C. Commission an external consultant to benchmark the pay gap against sector averages to contextualise the finding before taking action.
D. Apply an across-the-board salary uplift of 8% to all female employees in the operations division without revising the underlying job-evaluation or grading methodology.";"B -> A -> C -> D

B ranks highest as it follows the Pay Transparency Directive (EU) 2023/970 by engaging with worker representatives to identify and address pay disparities through a structured and documented plan, ensuring proactive remediation and accountability. 

A is ranked second because while it acknowledges the issue in an official report, it lacks the actionable measures and stakeholder engagement that B employs, making it a less proactive approach to addressing the gender pay gap.

C ranks third as benchmarking against sector averages delays direct action on resolving the identified gap and lacks the internal review and solution implementation that A provides, focusing more on contextualization than immediate remediation.

D is ranked last as applying an 8% salary uplift without addressing systemic evaluation issues may perpetuate or even exacerbate existing inequities, demonstrating a lack of compliance with the directive's emphasis on transparency and structural change.";"B -> D -> A -> C

B combines binding remediation within 24 months, granular adjustment tracking, joint worker involvement and reporting, aligning with the directive's consultative and corrective intent. D directly addresses the 8% figure but treats it as a gross statistical correction rather than a structural alignment, which risks correcting the symptom rather than the cause. A monitors the gap without corrective or consultative content, and is therefore passive against a structural exposure. C delays action in favour of comparative framing rather than problem addressing, leaving the gap unaltered.";"B -> D -> C -> A

B. By combining diagnosis, timed remediation, and structured disclosure to employee representatives, this option most closely reflects the directive's procedural alignment of transparency and correction. Continuous progress reporting embeds accountability across the full adjustment period.

D. Immediate pay correction is given priority over external benchmarking, because it at least addresses the symptom even if the underlying process remains uncorrected. However, failure to couple the uplift with revised evaluation practices risks future drift.

C. Using sector benchmarking as a delaying stage before action ranks below immediate correction, but still positions as active gap quantification rather than deferred monitoring. Its evidential focus makes it less responsive than B, where evidence feeds directly into remedial timing.

A. Without quantification or process linkage, 'monitoring' in a sustainability report is treated as the least effective response to a live gap. Because it projects action indefinitely into the future, it is placed below all options involving either external evidence or immediate intervention."
